name,review,date,rating
saayan das,Great experience working with capital numbers. Learnt a lot with the help of experience and helpful seniors.,a year ago, 5 stars 
José Luis Rodriguez,"I worked with Anir and his team for a website development project at the end of 2020. They were very professional and kind from the first meeting. They understood perfectly what the project was about, and delivered an excellent work. …",3 months ago, 5 stars 
Luisildo Santos,"I had a very good experience with Capital Numbers, starting by the first interaction with the customer service representative that always tried to adjust to the project requirements. I  had the same experience with the project manager  and …",2 months ago, 5 stars 
Ian Dobbie,I had a problem where my website crashed 12 months after launch.  Jag and the Capital Numbers team were very helpful getting me back up and going and did not charge me for this assistance.  Can't speak more highly of their customer service,2 months ago, 5 stars 
Debajit Dutta,"Very good people specialy mr.soubhik Mukherjee.
I'm have done there google street view photography.
Office ambience is very good.",a year ago, 5 stars 
Bryan Suarez,Our company has built a great relationship with Capital Numbers over the years and we have received the support we have needed to grow our business into what it is today. Thank you so much and it's great to work with you Souvik and Kanchan!!,3 months ago, 5 stars 
Juan Chavez Jr,"Great development partner. We partnered with CN for a front end developer with Vue and React skills and they provided an excellent resource!
Communication is excellent.

We look forward to growing our relationship on many projects in the years to come!",7 months ago, 5 stars 
Jason Brown,"I have used Capital Numbers for years, they are a very important aspect of my business. I have found value in their pricing. I had significant problems with my website and we could not solve the issues anymore, I needed to focus on growing …",8 months ago, 5 stars 
javier sanchez-mariscal,I have nothing but praise for Capital Numbers Infotech. Every project from big to small has been handled exceptionally.  Everyone I have worked with and especially my designated Project Manager Anirrudh has been very professional.  I will continue to use Capital Numbers Infotech with all my future projects,8 months ago, 5 stars 
Timothy Bassett,"After a previous developer experience went bad, it was refreshing to work with Capital Numbers and their Team of experts.  Their processes and organization made it simple for me to stay engaged with the whole process.  I would certainly recommend them to every one I know.",7 months ago, 5 stars 
AddIs Work,We were in need of a dedicated support for our web app and hired Capital Numbers. Everyone in the team is amazing. We had the best PM who was incredibly responsive and solved all issues on spot.The assigned Laravel developer was very responsive and professional. We will definitely continue our collaboration. Thank you very much!,9 months ago, 5 stars 
Julia Ebner,"It was a great experience to work with Capital Numbers and I can highly recommend them. The project manager for my web scraping, Arghadip, was brilliant -- the services were fast, reliable and the quality was excellent.",6 months ago, 5 stars 
