name,review,date,rating
Sid Pinney,An amazing alternative to heavyweight consulting.  Toptal takes IT professional services to new level.  Their flexibility to client needs is second to none. Call them when you need help not rhetoric.,4 years ago, 5 stars 
Lachlann Adams,"Fernando, brilliant guy, really helpful!!",a year ago, 5 stars 
Cliff Love,,4 years ago, 5 stars 
